epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,4782.04,0.83463,0.68577,1.02872,0.5751,0.39689,0.39753,0.25381,1.40627,1.53942,1.42507,1.30987e-05,1.30987e-05,1.30987e-05
161,4858.67,0.82776,0.67472,1.02419,0.52442,0.41887,0.40274,0.25735,1.39754,1.53835,1.4219,1.25444e-05,1.25444e-05,1.25444e-05
162,4935.17,0.84048,0.69251,1.02829,0.53879,0.41866,0.40168,0.25666,1.39738,1.5477,1.42274,1.20019e-05,1.20019e-05,1.20019e-05
163,5008.45,0.82995,0.6717,1.02255,0.56998,0.40401,0.39966,0.25609,1.39095,1.5422,1.41428,1.14714e-05,1.14714e-05,1.14714e-05
164,5084.22,0.83237,0.67814,1.02528,0.53302,0.41582,0.4001,0.2554,1.39403,1.53546,1.41948,1.0953e-05,1.0953e-05,1.0953e-05
165,5161.12,0.81287,0.64842,1.00948,0.51846,0.41354,0.39397,0.25179,1.39321,1.54134,1.41672,1.04469e-05,1.04469e-05,1.04469e-05
166,5234.38,0.82509,0.67267,1.02545,0.5953,0.3832,0.39972,0.2548,1.39755,1.54284,1.42335,9.95317e-06,9.95317e-06,9.95317e-06
167,5308.58,0.84114,0.68824,1.02782,0.55658,0.41351,0.40045,0.25522,1.39542,1.55232,1.42124,9.47192e-06,9.47192e-06,9.47192e-06
168,5383.68,0.82809,0.66463,1.02439,0.56274,0.41236,0.40286,0.2572,1.39636,1.54942,1.41949,9.00329e-06,9.00329e-06,9.00329e-06
169,5459.16,0.83611,0.68725,1.02743,0.53263,0.41365,0.40618,0.25915,1.39443,1.5469,1.42085,8.54738e-06,8.54738e-06,8.54738e-06
170,5534.01,0.82143,0.67475,1.02648,0.54763,0.41366,0.40528,0.25796,1.39431,1.53739,1.4197,8.10432e-06,8.10432e-06,8.10432e-06
